supplier_code,supplier_name,contact_info,country_of_origin
1001,ABC Bakery Supplies,+27214567890,South Africa
1002,Fresh Meat Distributors,info@freshmeats.co.za,South Africa
1003,Quality Ingredients Ltd,orders@quality.co.za,South Africa
1004,Packaging Solutions,+27115551234,South Africa
1005,Cleaning Supplies Co,sales@cleaning.co.za,South Africa
1006,Equipment Maintenance,service@equipment.co.za,South Africa
1007,Dairy Fresh,+27217778888,South Africa
1008,Spice World,spices@world.co.za,South Africa
1009,Frozen Foods Direct,frozen@direct.co.za,South Africa
1010,Local Produce Market,+27213334444,South Africa
